2023-11-01 17:59:07.451 +03:00 [INF] Hisse senetleri alınıyor bu işlem 1dk-3dk arası sürebilmektedir...
2023-11-01 17:59:09.769 +03:00 [INF] HALKB Kodlu Hissenin Detayını Çekerken Hata: 'Y' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2023-11-01 17:59:10.356 +03:00 [INF] MIATK Kodlu Hissenin Detayını Çekerken Hata: 'Y' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2023-11-01 17:59:12.503 +03:00 [INF] Tüm veriler çekildi. İşlem Başarılı.
2023-11-01 17:59:14.665 +03:00 [INF] PUT isteği başarılı. İşlem başarıyla tamamlandı.
2023-11-01 18:00:07.430 +03:00 [INF] Hisse senetleri alınıyor bu işlem 1dk-3dk arası sürebilmektedir...
2023-11-01 18:00:12.282 +03:00 [INF] Tüm veriler çekildi. İşlem Başarılı.
2023-11-01 18:00:12.553 +03:00 [INF] PUT isteği başarılı. İşlem başarıyla tamamlandı.
2023-11-01 18:03:07.449 +03:00 [INF] Hisse senetleri alınıyor bu işlem 1dk-3dk arası sürebilmektedir...
2023-11-01 18:03:09.318 +03:00 [INF] DENGE Kodlu Hissenin Detayını Çekerken Hata: 'Y' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2023-11-01 18:03:11.617 +03:00 [INF] Tüm veriler çekildi. İşlem Başarılı.
2023-11-01 18:03:11.773 +03:00 [INF] PUT isteği başarılı. İşlem başarıyla tamamlandı.
2023-11-01 18:09:31.542 +03:00 [INF] Start installing Hangfire SQL objects...
2023-11-01 18:09:31.693 +03:00 [INF] Hangfire SQL objects installed.
2023-11-01 18:09:31.716 +03:00 [INF] Starting Hangfire Server using job storage: 'SQL Server: (localdb)\MSSQLLocalDB@StockMarketDbHangFire'
2023-11-01 18:09:31.718 +03:00 [INF] Using the following options for SQL Server job storage: Queue poll interval: 00:00:00.
2023-11-01 18:09:31.720 +03:00 [INF] Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2023-11-01 18:09:31.852 +03:00 [INF] Server bahadir-aksakal:23760:c0daf10a successfully announced in 106,5508 ms
2023-11-01 18:09:31.859 +03:00 [INF] Server bahadir-aksakal:23760:c0daf10a is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, SqlServerHeartbeatProcess, Worker, DelayedJobScheduler, RecurringJobScheduler...
2023-11-01 18:09:31.955 +03:00 [INF] Server bahadir-aksakal:23760:c0daf10a all the dispatchers started
2023-11-01 18:09:32.035 +03:00 [INF] Hangfire arka plan işlemleri başlatıldı. Çıkmak için ENTER'a basın.
2023-11-01 18:09:32.216 +03:00 [INF] GetStocksService 0. kere çalışıyor
2023-11-01 18:09:32.646 +03:00 [INF] SendMailWhenPricesChanged tamamlandı
2023-11-01 18:10:02.193 +03:00 [INF] ALARK Fiyat değişti
2023-11-01 18:10:02.194 +03:00 [INF] ASTOR Fiyat değişti
2023-11-01 18:10:02.194 +03:00 [INF] ASELS Fiyat değişti
2023-11-01 18:10:02.195 +03:00 [INF] BFREN Fiyat değişti
2023-11-01 18:10:02.195 +03:00 [INF] BIENY Fiyat değişti
2023-11-01 18:10:02.196 +03:00 [INF] BORLS Fiyat değişti
2023-11-01 18:10:02.196 +03:00 [INF] BRLSM Fiyat değişti
2023-11-01 18:10:02.197 +03:00 [INF] BRSAN Fiyat değişti
2023-11-01 18:10:02.197 +03:00 [INF] BURCE Fiyat değişti
2023-11-01 18:10:02.198 +03:00 [INF] BVSAN Fiyat değişti
2023-11-01 18:10:02.199 +03:00 [INF] CANTE Fiyat değişti
2023-11-01 18:10:02.199 +03:00 [INF] CEMTS Fiyat değişti
2023-11-01 18:10:02.200 +03:00 [INF] CCOLA Fiyat değişti
2023-11-01 18:10:02.200 +03:00 [INF] CIMSA Fiyat değişti
2023-11-01 18:10:02.201 +03:00 [INF] DOAS Fiyat değişti
2023-11-01 18:10:02.201 +03:00 [INF] ECILC Fiyat değişti
2023-11-01 18:10:02.202 +03:00 [INF] EGEEN Fiyat değişti
2023-11-01 18:10:02.202 +03:00 [INF] DENGE Fiyat değişti
2023-11-01 18:10:02.203 +03:00 [INF] ENKAI Fiyat değişti
2023-11-01 18:10:02.203 +03:00 [INF] ERBOS Fiyat değişti
2023-11-01 18:10:02.204 +03:00 [INF] EREGL Fiyat değişti
2023-11-01 18:10:02.204 +03:00 [INF] EUPWR Fiyat değişti
2023-11-01 18:10:02.205 +03:00 [INF] FENER Fiyat değişti
2023-11-01 18:10:02.205 +03:00 [INF] FLAP Fiyat değişti
2023-11-01 18:10:02.206 +03:00 [INF] FONET Fiyat değişti
2023-11-01 18:10:02.207 +03:00 [INF] GARAN Fiyat değişti
2023-11-01 18:10:02.207 +03:00 [INF] FROTO Fiyat değişti
2023-11-01 18:10:02.208 +03:00 [INF] GSRAY Fiyat değişti
2023-11-01 18:10:02.208 +03:00 [INF] ISCTR Fiyat değişti
2023-11-01 18:10:02.209 +03:00 [INF] DARDL Fiyat değişti
2023-11-01 18:10:02.209 +03:00 [INF] IZENR Fiyat değişti
2023-11-01 18:10:02.210 +03:00 [INF] ISYAT Fiyat değişti
2023-11-01 18:10:02.210 +03:00 [INF] KARSN Fiyat değişti
2023-11-01 18:10:02.211 +03:00 [INF] KLSYN Fiyat değişti
2023-11-01 18:10:02.211 +03:00 [INF] KONKA Fiyat değişti
2023-11-01 18:10:02.212 +03:00 [INF] KOZAA Fiyat değişti
2023-11-01 18:10:02.213 +03:00 [INF] KRDMD Fiyat değişti
2023-11-01 18:10:02.213 +03:00 [INF] KRONT Fiyat değişti
2023-11-01 18:10:02.214 +03:00 [INF] KZGYO Fiyat değişti
