2023-11-02 10:23:21.914 +03:00 [INF] Hisse senetleri alınıyor bu işlem 1dk-3dk arası sürebilmektedir...
2023-11-02 10:23:25.688 +03:00 [INF] Tüm veriler çekildi. İşlem Başarılı.
2023-11-02 10:23:26.764 +03:00 [INF] PUT isteği başarılı. İşlem başarıyla tamamlandı.
2023-11-02 10:24:05.541 +03:00 [INF] Hisse senetleri alınıyor bu işlem 1dk-3dk arası sürebilmektedir...
2023-11-02 10:24:07.193 +03:00 [INF] EMKEL Kodlu Hissenin Detayını Çekerken Hata: 'Y' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2023-11-02 10:24:09.401 +03:00 [INF] Tüm veriler çekildi. İşlem Başarılı.
2023-11-02 10:24:09.614 +03:00 [INF] PUT isteği başarılı. İşlem başarıyla tamamlandı.
2023-11-02 10:27:05.722 +03:00 [INF] Hisse senetleri alınıyor bu işlem 1dk-3dk arası sürebilmektedir...
2023-11-02 10:27:10.430 +03:00 [INF] Tüm veriler çekildi. İşlem Başarılı.
2023-11-02 10:27:10.629 +03:00 [INF] PUT isteği başarılı. İşlem başarıyla tamamlandı.
2023-11-02 10:30:05.777 +03:00 [INF] Hisse senetleri alınıyor bu işlem 1dk-3dk arası sürebilmektedir...
2023-11-02 10:30:10.284 +03:00 [INF] Tüm veriler çekildi. İşlem Başarılı.
2023-11-02 10:30:10.432 +03:00 [INF] PUT isteği başarılı. İşlem başarıyla tamamlandı.
2023-11-02 10:40:07.485 +03:00 [INF] Start installing Hangfire SQL objects...
2023-11-02 10:40:07.678 +03:00 [INF] Hangfire SQL objects installed.
2023-11-02 10:40:07.698 +03:00 [INF] Starting Hangfire Server using job storage: 'SQL Server: (localdb)\MSSQLLocalDB@StockMarketDbHangFire'
2023-11-02 10:40:07.700 +03:00 [INF] Using the following options for SQL Server job storage: Queue poll interval: 00:00:00.
2023-11-02 10:40:07.700 +03:00 [INF] Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2023-11-02 10:40:07.827 +03:00 [INF] Server bahadir-aksakal:17740:4fa5750b successfully announced in 104,5833 ms
2023-11-02 10:40:07.837 +03:00 [INF] Server bahadir-aksakal:17740:4fa5750b is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, SqlServerHeartbeatProcess, Worker, DelayedJobScheduler, RecurringJobScheduler...
2023-11-02 10:40:07.949 +03:00 [INF] Server bahadir-aksakal:17740:4fa5750b all the dispatchers started
2023-11-02 10:40:07.985 +03:00 [INF] Hangfire arka plan işlemleri başlatıldı. Çıkmak için ENTER'a basın.
2023-11-02 10:40:08.176 +03:00 [INF] GetStocksService 0. kere çalışıyor
2023-11-02 10:40:08.649 +03:00 [INF] SendMailWhenPricesChanged tamamlandı
2023-11-02 10:41:08.194 +03:00 [INF] ADESE Fiyat değişti
2023-11-02 10:41:08.195 +03:00 [INF] AKCNS Fiyat değişti
2023-11-02 10:41:08.196 +03:00 [INF] AKSA Fiyat değişti
2023-11-02 10:41:08.196 +03:00 [INF] AEFES Fiyat değişti
2023-11-02 10:41:08.197 +03:00 [INF] ASTOR Fiyat değişti
2023-11-02 10:41:08.197 +03:00 [INF] ATAKP Fiyat değişti
2023-11-02 10:41:08.198 +03:00 [INF] ATLAS Fiyat değişti
2023-11-02 10:41:08.199 +03:00 [INF] ASELS Fiyat değişti
2023-11-02 10:41:08.199 +03:00 [INF] BERA Fiyat değişti
2023-11-02 10:41:08.200 +03:00 [INF] BIENY Fiyat değişti
2023-11-02 10:41:08.200 +03:00 [INF] BOSSA Fiyat değişti
2023-11-02 10:41:08.201 +03:00 [INF] BRISA Fiyat değişti
2023-11-02 10:41:08.201 +03:00 [INF] BORLS Fiyat değişti
2023-11-02 10:41:08.202 +03:00 [INF] BURCE Fiyat değişti
2023-11-02 10:41:08.202 +03:00 [INF] BVSAN Fiyat değişti
2023-11-02 10:41:08.203 +03:00 [INF] CEMTS Fiyat değişti
2023-11-02 10:41:08.204 +03:00 [INF] CRFSA Fiyat değişti
2023-11-02 10:41:08.204 +03:00 [INF] CIMSA Fiyat değişti
2023-11-02 10:41:08.205 +03:00 [INF] DMSAS Fiyat değişti
2023-11-02 10:41:08.206 +03:00 [INF] DOFER Fiyat değişti
2023-11-02 10:41:08.206 +03:00 [INF] DOKTA Fiyat değişti
2023-11-02 10:41:08.207 +03:00 [INF] EBEBK Fiyat değişti
2023-11-02 10:41:08.207 +03:00 [INF] EGEPO Fiyat değişti
2023-11-02 10:41:08.208 +03:00 [INF] EKGYO Fiyat değişti
2023-11-02 10:41:08.208 +03:00 [INF] EMKEL Fiyat değişti
2023-11-02 10:41:08.209 +03:00 [INF] ENJSA Fiyat değişti
2023-11-02 10:41:08.209 +03:00 [INF] ERCB Fiyat değişti
2023-11-02 10:41:08.209 +03:00 [INF] EREGL Fiyat değişti
2023-11-02 10:41:08.210 +03:00 [INF] EUREN Fiyat değişti
2023-11-02 10:41:08.210 +03:00 [INF] FENER Fiyat değişti
2023-11-02 10:41:08.211 +03:00 [INF] FLAP Fiyat değişti
2023-11-02 10:41:08.211 +03:00 [INF] FONET Fiyat değişti
2023-11-02 10:41:08.212 +03:00 [INF] FMIZP Fiyat değişti
2023-11-02 10:41:08.213 +03:00 [INF] FORTE Fiyat değişti
2023-11-02 10:41:08.213 +03:00 [INF] GIPTA Fiyat değişti
2023-11-02 10:41:08.214 +03:00 [INF] ICBCT Fiyat değişti
2023-11-02 10:41:08.215 +03:00 [INF] ISCTR Fiyat değişti
2023-11-02 10:41:08.215 +03:00 [INF] ISGSY Fiyat değişti
