2023-11-03 10:51:07.869 +03:00 [INF] Start installing Hangfire SQL objects...
2023-11-03 10:51:08.126 +03:00 [INF] Hangfire SQL objects installed.
2023-11-03 10:51:08.148 +03:00 [INF] Starting Hangfire Server using job storage: 'SQL Server: (localdb)\MSSQLLocalDB@StockMarketDbHangFire'
2023-11-03 10:51:08.149 +03:00 [INF] Using the following options for SQL Server job storage: Queue poll interval: 00:00:00.
2023-11-03 10:51:08.150 +03:00 [INF] Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2023-11-03 10:51:08.607 +03:00 [INF] Server bahadir-aksakal:20932:209e856a successfully announced in 407,0021 ms
2023-11-03 10:51:08.677 +03:00 [INF] Server bahadir-aksakal:20932:209e856a is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, SqlServerHeartbeatProcess, Worker, DelayedJobScheduler, RecurringJobScheduler...
2023-11-03 10:51:08.789 +03:00 [INF] Hangfire arka plan işlemleri başlatıldı. Çıkmak için ENTER'a basın.
2023-11-03 10:51:09.221 +03:00 [INF] Server bahadir-aksakal:20932:209e856a all the dispatchers started
2023-11-03 10:51:09.725 +03:00 [INF] GetStocksService 0. kere çalışıyor
2023-11-03 10:51:10.375 +03:00 [INF] SendMailWhenPricesChanged tamamlandı
2023-11-03 10:52:09.608 +03:00 [INF] ACSEL Fiyat değişti
2023-11-03 10:52:09.610 +03:00 [INF] ADEL Fiyat değişti
2023-11-03 10:52:09.612 +03:00 [INF] AKSA Fiyat değişti
2023-11-03 10:52:09.612 +03:00 [INF] AKSEN Fiyat değişti
2023-11-03 10:52:09.613 +03:00 [INF] ALARK Fiyat değişti
2023-11-03 10:52:09.613 +03:00 [INF] ANHYT Fiyat değişti
2023-11-03 10:52:09.614 +03:00 [INF] ASTOR Fiyat değişti
2023-11-03 10:52:09.614 +03:00 [INF] ATLAS Fiyat değişti
2023-11-03 10:52:09.615 +03:00 [INF] BERA Fiyat değişti
2023-11-03 10:52:09.615 +03:00 [INF] BIGCH Fiyat değişti
2023-11-03 10:52:09.616 +03:00 [INF] BFREN Fiyat değişti
2023-11-03 10:52:09.616 +03:00 [INF] BIENY Fiyat değişti
2023-11-03 10:52:09.617 +03:00 [INF] BIOEN Fiyat değişti
2023-11-03 10:52:09.617 +03:00 [INF] BRSAN Fiyat değişti
2023-11-03 10:52:09.618 +03:00 [INF] BURCE Fiyat değişti
2023-11-03 10:52:09.618 +03:00 [INF] CANTE Fiyat değişti
2023-11-03 10:52:09.619 +03:00 [INF] CEMTS Fiyat değişti
2023-11-03 10:52:09.619 +03:00 [INF] CEMAS Fiyat değişti
2023-11-03 10:52:09.620 +03:00 [INF] CRFSA Fiyat değişti
2023-11-03 10:52:09.620 +03:00 [INF] CVKMD Fiyat değişti
2023-11-03 10:52:09.621 +03:00 [INF] CMBTN Fiyat değişti
2023-11-03 10:52:09.621 +03:00 [INF] CONSE Fiyat değişti
2023-11-03 10:52:09.622 +03:00 [INF] CIMSA Fiyat değişti
2023-11-03 10:52:09.622 +03:00 [INF] CMENT Fiyat değişti
2023-11-03 10:52:09.623 +03:00 [INF] DEVA Fiyat değişti
2023-11-03 10:52:09.624 +03:00 [INF] DESA Fiyat değişti
2023-11-03 10:52:09.624 +03:00 [INF] DGATE Fiyat değişti
2023-11-03 10:52:09.625 +03:00 [INF] DMSAS Fiyat değişti
2023-11-03 10:52:09.625 +03:00 [INF] DOAS Fiyat değişti
2023-11-03 10:52:09.626 +03:00 [INF] DOFER Fiyat değişti
2023-11-03 10:52:09.626 +03:00 [INF] EDIP Fiyat değişti
2023-11-03 10:52:09.627 +03:00 [INF] EGEPO Fiyat değişti
2023-11-03 10:52:09.628 +03:00 [INF] ENKAI Fiyat değişti
2023-11-03 10:52:09.628 +03:00 [INF] EREGL Fiyat değişti
2023-11-03 10:52:09.629 +03:00 [INF] EUPWR Fiyat değişti
