2023-11-03 15:29:11.704 +03:00 [INF] Hisse senetleri alınıyor bu işlem 1dk-3dk arası sürebilmektedir...
2023-11-03 15:29:12.666 +03:00 [INF] BURCE Kodlu Hissenin Detayını Çekerken Hata: 'Y' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2023-11-03 15:29:12.745 +03:00 [INF] BRLSM Kodlu Hissenin Detayını Çekerken Hata: 'Y' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2023-11-03 15:29:12.826 +03:00 [INF] DMSAS Kodlu Hissenin Detayını Çekerken Hata: 'Y' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2023-11-03 15:29:14.259 +03:00 [INF] Tüm veriler çekildi. İşlem Başarılı.
2023-11-03 15:29:16.750 +03:00 [INF] PUT isteği başarılı. İşlem başarıyla tamamlandı.
2023-11-03 15:30:10.841 +03:00 [INF] Hisse senetleri alınıyor bu işlem 1dk-3dk arası sürebilmektedir...
2023-11-03 15:30:11.609 +03:00 [INF] BAYRK Kodlu Hissenin Detayını Çekerken Hata: 'Y' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2023-11-03 15:30:11.609 +03:00 [INF] BIOEN Kodlu Hissenin Detayını Çekerken Hata: 'Y' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2023-11-03 15:30:11.709 +03:00 [INF] DOFER Kodlu Hissenin Detayını Çekerken Hata: 'Y' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2023-11-03 15:30:12.115 +03:00 [INF] KTSKR Kodlu Hissenin Detayını Çekerken Hata: 'Y' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2023-11-03 15:30:12.419 +03:00 [INF] MTRKSHE Kodlu Hissenin Detayını Çekerken Hata: 'Y' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2023-11-03 15:30:12.741 +03:00 [INF] Tüm veriler çekildi. İşlem Başarılı.
2023-11-03 15:30:13.021 +03:00 [INF] PUT isteği başarılı. İşlem başarıyla tamamlandı.
2023-11-03 15:33:08.874 +03:00 [INF] Start installing Hangfire SQL objects...
2023-11-03 15:33:09.075 +03:00 [INF] Hangfire SQL objects installed.
2023-11-03 15:33:09.112 +03:00 [INF] Starting Hangfire Server using job storage: 'SQL Server: (localdb)\MSSQLLocalDB@StockMarketDbHangFire'
2023-11-03 15:33:09.113 +03:00 [INF] Using the following options for SQL Server job storage: Queue poll interval: 00:00:00.
2023-11-03 15:33:09.114 +03:00 [INF] Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2023-11-03 15:33:09.295 +03:00 [INF] Server bahadir-aksakal:16072:78aeb3bb successfully announced in 130,903 ms
2023-11-03 15:33:09.303 +03:00 [INF] Server bahadir-aksakal:16072:78aeb3bb is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, SqlServerHeartbeatProcess, Worker, DelayedJobScheduler, RecurringJobScheduler...
2023-11-03 15:33:09.483 +03:00 [INF] Server bahadir-aksakal:16072:78aeb3bb all the dispatchers started
2023-11-03 15:33:09.493 +03:00 [INF] Hangfire arka plan işlemleri başlatıldı. Çıkmak için ENTER'a basın.
2023-11-03 15:33:09.819 +03:00 [INF] GetStocksService 0. kere çalışıyor
2023-11-03 15:33:10.924 +03:00 [INF] SendMailWhenPricesChanged tamamlandı
2023-11-03 15:34:09.758 +03:00 [INF] AKSA Fiyat değişti
2023-11-03 15:34:09.759 +03:00 [INF] AKSEN Fiyat değişti
2023-11-03 15:34:09.760 +03:00 [INF] ASTOR Fiyat değişti
2023-11-03 15:34:09.760 +03:00 [INF] ATAKP Fiyat değişti
2023-11-03 15:34:09.761 +03:00 [INF] ASELS Fiyat değişti
2023-11-03 15:34:09.761 +03:00 [INF] BIGCH Fiyat değişti
2023-11-03 15:34:09.762 +03:00 [INF] BFREN Fiyat değişti
2023-11-03 15:34:09.762 +03:00 [INF] BIOEN Fiyat değişti
2023-11-03 15:34:09.763 +03:00 [INF] BOSSA Fiyat değişti
2023-11-03 15:34:09.763 +03:00 [INF] BORLS Fiyat değişti
2023-11-03 15:34:09.764 +03:00 [INF] BRSAN Fiyat değişti
2023-11-03 15:34:09.765 +03:00 [INF] BVSAN Fiyat değişti
2023-11-03 15:34:09.765 +03:00 [INF] CCOLA Fiyat değişti
2023-11-03 15:34:09.766 +03:00 [INF] CEMAS Fiyat değişti
2023-11-03 15:34:09.766 +03:00 [INF] CLEBI Fiyat değişti
2023-11-03 15:34:09.767 +03:00 [INF] CIMSA Fiyat değişti
2023-11-03 15:34:09.768 +03:00 [INF] DESA Fiyat değişti
2023-11-03 15:34:09.768 +03:00 [INF] DMRGD Fiyat değişti
2023-11-03 15:34:09.769 +03:00 [INF] DOAS Fiyat değişti
2023-11-03 15:34:09.769 +03:00 [INF] DOFER Fiyat değişti
2023-11-03 15:34:09.770 +03:00 [INF] DOHOL Fiyat değişti
2023-11-03 15:34:09.770 +03:00 [INF] EDATA Fiyat değişti
2023-11-03 15:34:09.771 +03:00 [INF] EGEEN Fiyat değişti
2023-11-03 15:34:09.771 +03:00 [INF] EGSER Fiyat değişti
2023-11-03 15:34:09.772 +03:00 [INF] ENERY Fiyat değişti
2023-11-03 15:34:09.773 +03:00 [INF] ENKAI Fiyat değişti
2023-11-03 15:34:09.773 +03:00 [INF] ERBOS Fiyat değişti
2023-11-03 15:34:09.774 +03:00 [INF] ESCOM Fiyat değişti
2023-11-03 15:34:09.775 +03:00 [INF] EUPWR Fiyat değişti
2023-11-03 15:34:09.776 +03:00 [INF] EUREN Fiyat değişti
2023-11-03 15:34:09.777 +03:00 [INF] FONET Fiyat değişti
2023-11-03 15:34:09.777 +03:00 [INF] FZLGY Fiyat değişti
2023-11-03 15:34:09.778 +03:00 [INF] FROTO Fiyat değişti
2023-11-03 15:34:09.778 +03:00 [INF] HEKTS Fiyat değişti
2023-11-03 15:34:09.779 +03:00 [INF] KLSER Fiyat değişti
2023-11-03 15:34:09.779 +03:00 [INF] KLSYN Fiyat değişti
2023-11-03 15:34:09.780 +03:00 [INF] KONKA Fiyat değişti
2023-11-03 15:34:09.781 +03:00 [INF] KONYA Fiyat değişti
2023-11-03 15:34:09.781 +03:00 [INF] KOZAA Fiyat değişti
2023-11-03 15:34:09.782 +03:00 [INF] KRDMD Fiyat değişti
2023-11-03 15:34:09.782 +03:00 [INF] KZGYO Fiyat değişti
2023-11-03 15:34:09.783 +03:00 [INF] LIDFA Fiyat değişti
2023-11-03 15:34:09.783 +03:00 [INF] LOGO Fiyat değişti
2023-11-03 15:34:09.784 +03:00 [INF] KAYSE Fiyat değişti
2023-11-03 15:34:09.784 +03:00 [INF] MEKAG Fiyat değişti
2023-11-03 15:34:09.785 +03:00 [INF] MERIT Fiyat değişti
2023-11-03 15:34:09.785 +03:00 [INF] MIATK Fiyat değişti
