2023-11-06 13:39:44.146 +03:00 [INF] Start installing Hangfire SQL objects...
2023-11-06 13:39:44.373 +03:00 [INF] Hangfire SQL objects installed.
2023-11-06 13:39:44.396 +03:00 [INF] Starting Hangfire Server using job storage: 'SQL Server: (localdb)\MSSQLLocalDB@StockMarketDbHangFire'
2023-11-06 13:39:44.397 +03:00 [INF] Using the following options for SQL Server job storage: Queue poll interval: 00:00:00.
2023-11-06 13:39:44.398 +03:00 [INF] Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2023-11-06 13:39:44.689 +03:00 [INF] Server bahadir-aksakal:12052:a44ee734 successfully announced in 251,9821 ms
2023-11-06 13:39:44.699 +03:00 [INF] Server bahadir-aksakal:12052:a44ee734 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, SqlServerHeartbeatProcess, Worker, DelayedJobScheduler, RecurringJobScheduler...
2023-11-06 13:39:44.805 +03:00 [INF] Server bahadir-aksakal:12052:a44ee734 all the dispatchers started
2023-11-06 13:39:45.015 +03:00 [INF] Hangfire arka plan işlemleri başlatıldı. Çıkmak için ENTER'a basın.
2023-11-06 13:39:45.174 +03:00 [INF] GetStocksService 0. kere çalışıyor
2023-11-06 13:39:46.287 +03:00 [INF] SendMailWhenPricesChanged tamamlandı
2023-11-06 13:40:00.087 +03:00 [INF] AGESA Fiyat değişti
2023-11-06 13:40:00.089 +03:00 [INF] ADESE Fiyat değişti
2023-11-06 13:40:00.089 +03:00 [INF] ADEL Fiyat değişti
2023-11-06 13:40:00.090 +03:00 [INF] AKSEN Fiyat değişti
2023-11-06 13:40:00.090 +03:00 [INF] ALARK Fiyat değişti
2023-11-06 13:40:00.091 +03:00 [INF] ASTOR Fiyat değişti
2023-11-06 13:40:00.091 +03:00 [INF] ATLAS Fiyat değişti
2023-11-06 13:40:00.092 +03:00 [INF] ASELS Fiyat değişti
2023-11-06 13:40:00.092 +03:00 [INF] BFREN Fiyat değişti
2023-11-06 13:40:00.093 +03:00 [INF] BIOEN Fiyat değişti
2023-11-06 13:40:00.093 +03:00 [INF] BRISA Fiyat değişti
2023-11-06 13:40:00.094 +03:00 [INF] BRSAN Fiyat değişti
2023-11-06 13:40:00.094 +03:00 [INF] BURVA Fiyat değişti
2023-11-06 13:40:00.095 +03:00 [INF] BVSAN Fiyat değişti
2023-11-06 13:40:00.095 +03:00 [INF] BYDNR Fiyat değişti
2023-11-06 13:40:00.096 +03:00 [INF] CELHA Fiyat değişti
2023-11-06 13:40:00.096 +03:00 [INF] CANTE Fiyat değişti
2023-11-06 13:40:00.097 +03:00 [INF] CEMTS Fiyat değişti
